ADM3_PT,ADM3_PCODE,ADM3_REF,ADM3ALT1_PT,ADM3ALT2_PT,ADM2_PT,ADM2_PCODE,ADM1_PT,ADM1_PCODE,ADM0_EN,ADM0_PT,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
7 De Abril,MZ070901,,,,Meconta,MZ0709,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,552.903625488281
Alto Changane,MZ020201,,,,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2601.8525390625
Alto Ligonha,MZ110501,,,,Gile,MZ1105,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3900.626953125
Alto Molocue,MZ110101,,,,Alto Molocue,MZ1101,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3738.8447265625
Alua,MZ070301,,,,Erati,MZ0703,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1913.13134765625
Amatongas,MZ040301,,,,Gondola,MZ0403,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,837.543762207031
Anchilo,MZ072201,,,,Rapale,MZ0722,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1317.40368652344
Ancuabe,MZ010101,,,,Ancuabe,MZ0101,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2089.83862304688
Angoche,MZ070101,,,,Angoche,MZ0701,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,473.804779052734
Aube,MZ070102,,,,Angoche,MZ0701,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,551.611633300781
Bajone,MZ111501,,,,Mocubela,MZ1115,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1348.08715820313
Balama,MZ010201,,,,Balama,MZ0102,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,971.495788574219
Bazaruto,MZ030601,,,,Inhassoro,MZ0306,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,100.211357116699
Bazua,MZ041101,,,,Tambara,MZ0411,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1980.29040527344
Bela Vista,MZ050601,,,,Matutuine,MZ0506,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2625.20434570313
Bilibiza,MZ011801,,,,Quissanga,MZ0118,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,787.246643066406
Boane,MZ050101,,,,Boane,MZ0501,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,599.030456542969
Boila,MZ070103,,,,Angoche,MZ0701,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1252.90869140625
Buzi,MZ090101,,,,Buzi,MZ0901,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3417.81176757813
Cafumpe,MZ040302,,,,Gondola,MZ0403,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,774.953186035156
Caia,MZ090201,,,,Caia,MZ0902,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2014.06884765625
Calanga,MZ050401,,,,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,589.15380859375
Calipo,MZ071301,,,,Mogovolas,MZ0713,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1085.46252441406
Campo,MZ111701,,,,Mopeia,MZ1117,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3668.17065429688
Caniçado,MZ020801,Canicado,,,Guija,MZ0208,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,28.7810344696045
Canxixe,MZ091001,,,,Maringue,MZ0910,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1684.1279296875
Catandica,MZ040101,,,,Barue,MZ0401,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2955.47875976563
Catuane,MZ050602,,,,Matutuine,MZ0506,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1259.24340820313
Chai,MZ010601,,,,Macomia,MZ0106,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1053.79431152344
Chaimite,MZ020202,,,,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,522.393676757813
Chalaua,MZ071401,,,,Moma,MZ0714,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1400.35949707031
Changalane,MZ050801,,,,Namaacha,MZ0508,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,778.677917480469
Changanine,MZ020203,,,,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1388.60913085938
Chapa,MZ011201,,,,Mueda,MZ0112,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2032.7177734375
Charre,MZ101301,,,,Mutarara,MZ1013,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,626.905639648438
Chemba,MZ090301,,,,Chemba,MZ0903,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1136.02294921875
Chibabava,MZ090501,,,,Chibabava,MZ0905,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1023.24487304688
Chibonzane,MZ021101,,,,Mandlakaze,MZ0211,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,938.204528808594
Chibuto,MZ020204,,,,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,47.3505554199219
Chicomo,MZ030901,,,,Massinga,MZ0309,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5343.22021484375
Chiconono,MZ081601,,,,Muembe,MZ0816,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4097.138671875
Chicumbane,MZ020901,,,,Limpopo,MZ0209,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,563.780822753906
Chidenguele,MZ021102,,,,Mandlakaze,MZ0211,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,719.800415039063
Chidzolomondo,MZ100801,,,,Macanga,MZ1008,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1860.47705078125
Chifunde,MZ100401,,,,Chifunde,MZ1004,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3319.078125
Chigubo,MZ020401,,,,Chigubo,MZ0204,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3695.22631835938
Chihulo,MZ070801,,,,Malema,MZ0708,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1686.59460449219
Chimbonila,MZ080101,,,,Chimbonila,MZ0801,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3723.93408203125
Chinde,MZ110201,,,,Chinde,MZ1102,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1024.63208007813
Chinga,MZ071801,,,,Murrupula,MZ0718,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,571.788818359375
Chintholo,MZ100201,,,,Cahora Bassa,MZ1002,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5131.40185546875
Chinthopo,MZ100901,,,,Magoe,MZ1009,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3055.21630859375
Chipembere,MZ100301,,,,Changara,MZ1003,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3900.79248046875
Chipene,MZ071101,,,,Memba,MZ0711,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,783.898742675781
Chipera,MZ101101,,,,Maravia,MZ1011,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2875.03735351563
Chiputu,MZ101102,,,,Maravia,MZ1011,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3762.25463867188
Chiramba,MZ090302,,,,Chemba,MZ0903,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1242.92810058594
Chire,MZ111801,,,,Morrumbala,MZ1118,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3333.96435546875
Chissano,MZ020902,,,,Limpopo,MZ0209,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,517.504272460938
Chitima,MZ100202,,,,Cahora Bassa,MZ1002,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3120.65844726563
Chitobe,MZ040601,,,,Machaze,MZ0406,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,8260.50390625
Chitunda,MZ011301,,,,Muidumbe,MZ0113,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,525.727294921875
Chiurairue,MZ040901,,,,Mossurize,MZ0409,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2122.34985351563
Chiure,MZ010301,,,,Chiure,MZ0103,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,620.912292480469
Chiure Velho,MZ010302,,,,Chiure,MZ0103,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,623.298522949219
Chiuta,MZ081301,,,,Mecanhelas,MZ0813,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2156.94409179688
Chivongoene,MZ020802,,,,Guija,MZ0208,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,730.86474609375
Choa,MZ040102,,,,Barue,MZ0401,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,832.775512695313
Chokwe,MZ020501,,,,Chokwe,MZ0205,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,51.0969352722168
Chongoene,MZ020601,,,,Chongoene,MZ0206,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,747.079528808594
Chupanga,MZ091101,,,,Marromeu,MZ0911,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2000.52075195313
Cidade Da Beira,MZ090601,,,,Cidade Da Beira,MZ0906,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,630.587890625
Cidade Da Matola,MZ050201,,,,Cidade Da Matola,MZ0502,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,367.673400878906
Cidade De Chimoio,MZ040201,,,,Cidade De Chimoio,MZ0402,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,174.420791625977
Cidade De Inhambane,MZ030101,,,,Cidade De Inhambane,MZ0301,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,194.933166503906
Cidade De Lichinga,MZ080201,,,,Cidade De Lichinga,MZ0802,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,256.431091308594
Cidade De Maputo,MZ060101,,,,Cidade De Maputo,MZ0601,Maputo City,MZ06,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,347.023590087891
Cidade De Nampula,MZ070201,,,,Cidade De Nampula,MZ0702,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,330.070098876953
Cidade De Pemba,MZ010401,,,,Cidade De Pemba,MZ0104,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,100.349220275879
Cidade De Quelimane,MZ110301,,,,Cidade De Quelimane,MZ1103,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,121.66219329834
Cidade De Tete,MZ100601,,,,Cidade De Tete,MZ1006,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,287.278259277344
Cidade De Xai-Xai,MZ020701,,,,Cidade De Xai-Xai,MZ0207,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,135.278015136719
Cobue,MZ080601,,,,Lago,MZ0806,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3517.498046875
Combomune,MZ021001,,,,Mabalane,MZ0210,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5119.4443359375
Corrane,MZ070902,,,,Meconta,MZ0709,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2316.55029296875
Covo,MZ072001,,,,Nacala-A-Velha,MZ0720,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,288.039215087891
Cuamba,MZ080301,,,,Cuamba,MZ0803,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2159.587890625
Cumbana,MZ030701,,,,Jangamo,MZ0307,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,627.006225585938
Cunle,MZ072301,,,,Ribaue,MZ0723,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1424.25866699219
Dacata,MZ040902,,,,Mossurize,MZ0409,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2380.47827148438
Derre,MZ110401,,,,Derre,MZ1104,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4746.78857421875
Diaca,MZ011001,,,,Mocimboa Da Praia,MZ0110,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1020.01605224609
Dindiza,MZ020402,,,,Chigubo,MZ0204,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,6424.8125
Divinhe,MZ090901,,,,Machanga,MZ0909,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1958.67919921875
Doa,MZ100701,,,,Doa,MZ1007,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3634.09643554688
Dombe,MZ041001,,,,Sussundenga,MZ0410,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3203.59301757813
Domue,MZ100101,,,,Angonia,MZ1001,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2121.0517578125
Dondo,MZ090701,,,,Dondo,MZ0907,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1548.14807128906
Espungabera,MZ040903,,,,Mossurize,MZ0409,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,519.984680175781
Estaquinha,MZ090102,,,,Buzi,MZ0901,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1475.27087402344
Etarara,MZ080302,,,,Cuamba,MZ0803,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1351.75146484375
Fingoe,MZ101103,,,,Maravia,MZ1011,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4892.087890625
Funhalouro,MZ030201,,,,Funhalouro,MZ0302,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,8797.1103515625
Furancungo,MZ100802,,,,Macanga,MZ1008,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5335.8359375
Galinha,MZ091201,,,,Muanza,MZ0912,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5907.57373046875
Gile,MZ110502,,,,Gile,MZ1105,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5076.3896484375
Godide,MZ020205,,,,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,559.021362304688
Gondola,MZ040303,,,,Gondola,MZ0403,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,52.6311340332031
Gonhane,MZ110801,,,,Inhassunge,MZ1108,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,249.111679077148
Goonda,MZ090502,,,,Chibabava,MZ0905,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2149.21362304688
Gorongosa,MZ090801,,,,Gorongosa,MZ0908,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2996.19360351563
Guro,MZ040401,,,,Guro,MZ0404,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1113.52624511719
Gurue,MZ110601,,,,Gurue,MZ1106,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1442.60229492188
Homoine,MZ030401,,,,Homoine,MZ0304,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1037.33056640625
Hucula,MZ011401,,,,Namuno,MZ0114,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,761.687194824219
Iapala,MZ072302,,,,Ribaue,MZ0723,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2622.5634765625
Ibo,MZ010501,,,,Ibo,MZ0105,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,58.3322105407715
Ile,MZ110701,,,,Ile,MZ1107,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2070.59765625
Ilha De Moçambique,MZ070401,Ilha De Mocambique,,,Ilha De Moçambique,MZ0704,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,50.307918548584
Ilha Josina Machel,MZ050402,,,,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,192.465148925781
Ilha Licom,MZ080401,,,,Ilha Licom,MZ0804,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,29.3521995544434
Ilha Risunodo,MZ080501,,,,Ilha Risunodo,MZ0805,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,8.39236545562744
Imala,MZ071701,,,,Muecate,MZ0717,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1220.00402832031
Imbuo,MZ011202,,,,Mueda,MZ0112,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,529.821044921875
Impiri,MZ010202,,,,Balama,MZ0102,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,771.520385742188
Inchope,MZ040304,,,,Gondola,MZ0403,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1017.42132568359
Inhaminga,MZ090401,,,,Cheringoma,MZ0904,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5397.64794921875
Inhamitanga,MZ090402,,,,Cheringoma,MZ0904,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1706.10925292969
Inhangoma,MZ101302,,,,Mutarara,MZ1013,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,774.553833007813
Inharrime,MZ030501,,,,Inharrime,MZ0305,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1110.00708007813
Inhassoro,MZ030602,,,,Inhassoro,MZ0306,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4644.46923828125
Inhassunge,MZ110802,,,,Inhassunge,MZ1108,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,505.308288574219
Insaca,MZ081302,,,,Mecanhelas,MZ0813,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2854.06103515625
Intete,MZ072101,,,,Nacaroa,MZ0721,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,684.725036621094
Itepela,MZ081701,,,,Ngauma,MZ0817,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1421.97705078125
