ADM3_PT,ADM3_PCODE,ADM3_REF,ADM3ALT1_PT,ADM3ALT2_PT,ADM2_PT,ADM2_PCODE,ADM1_PT,ADM1_PCODE,ADM0_EN,ADM0_PT,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Itoculo,MZ071501,,,,Monapo,MZ0715,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1242.73376464844
Iuluti,MZ071302,,,,Mogovolas,MZ0713,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1390.45202636719
Jangamo,MZ030702,,,,Jangamo,MZ0307,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,665.635498046875
Kambulatsisi,MZ101201,,,,Moatize,MZ1012,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1858.4287109375
Katapua,MZ010303,,,,Chiure,MZ0103,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1675.22131347656
Kazula,MZ100501,,,,Chiuta,MZ1005,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3012.3466796875
Kuekue,MZ010203,,,,Balama,MZ0102,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2470.26147460938
Lago Niassa,MZ080701,,,,Lago Niassa,MZ0807,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,6932.97900390625
Lalaua,MZ070501,,,,Lalaua,MZ0705,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2871.22265625
Larde,MZ070601,,,,Larde,MZ0706,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,734.887023925781
Lioma,MZ110602,,,,Gurue,MZ1106,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2911.74462890625
Lionde,MZ020502,,,,Chokwe,MZ0205,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,928.268798828125
Lione,MZ080102,,,,Chimbonila,MZ0801,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,874.467041015625
Liúpo,MZ070701,Liupo,,,Liúpo,MZ0707,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1363.10668945313
Luabo,MZ110901,,,,Luabo,MZ1109,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1119.50500488281
Luenha,MZ100302,,,,Changara,MZ1003,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2247.3818359375
Lugela,MZ111001,,,,Lugela,MZ1110,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,952.332885742188
Lumbo,MZ070402,,,,Ilha De Moçambique,MZ0704,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,130.908447265625
Lunga,MZ071601,,,,Mossuril,MZ0716,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1825.34692382813
Lunho,MZ080602,,,,Lago,MZ0806,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,946.396911621094
Lurio,MZ071102,,,,Memba,MZ0711,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,710.876770019531
Lurio,MZ080303,,,,Cuamba,MZ0803,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1832.35095214844
Lussimbesse,MZ081901,,,,Sanga,MZ0819,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,820.106872558594
M'Sawize,MZ081201,MSawize,,,Mavago,MZ0812,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4946.20458984375
M'Tamba,MZ011501,MTamba,,,Nangade,MZ0115,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1026.85485839844
Mabalane,MZ021002,,,,Mabalane,MZ0210,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2061.44506835938
Mabote,MZ030801,,,,Mabote,MZ0308,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4936.81298828125
Macaloge,MZ081902,,,,Sanga,MZ0819,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4493.12060546875
Macarretane,MZ020503,,,,Chokwe,MZ0205,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1023.5849609375
Macate,MZ040501,,,,Macate,MZ0405,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1433.6357421875
Machanga,MZ090902,,,,Machanga,MZ0909,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3757.32666015625
Machipanda,MZ040801,,,,Manica,MZ0408,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,588.988586425781
Machoca,MZ011402,,,,Namuno,MZ0114,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,930.734680175781
Machubo,MZ050501,,,,Marracuene,MZ0505,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,231.969009399414
Macia,MZ020101,,,,Bilene,MZ0201,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,87.1823043823242
Macomia,MZ010602,,,,Macomia,MZ0106,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1378.24792480469
Macossa,MZ040701,,,,Macossa,MZ0407,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5607.94140625
Macuacua,MZ021103,,,,Mandlakaze,MZ0211,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1060.71105957031
Macuze,MZ112001,,,,Namacurra,MZ1120,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,644.968017578125
Madzucane,MZ020602,,,,Chongoene,MZ0206,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,265.079315185547
Mafambisse,MZ090702,,,,Dondo,MZ0907,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,759.927490234375
Maganja,MZ111101,,,,Maganja Da Costa,MZ1111,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1548.00634765625
Magude,MZ050301,,,,Magude,MZ0503,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1801.45166015625
Mahate,MZ011802,,,,Quissanga,MZ0118,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,875.351745605469
Mahele,MZ050302,,,,Magude,MZ0503,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,865.746765136719
Maiaca,MZ081101,,,,Maua,MZ0811,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1912.28295898438
Majaua,MZ111301,,,,Milange,MZ1113,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,653.663452148438
Makluane,MZ020102,,,,Bilene,MZ0201,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,539.697570800781
Malanga,MZ080801,,,,Majune,MZ0808,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5259.5712890625
Malehice,MZ020206,,,,Chibuto,MZ0202,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,486.248565673828
Malema,MZ070802,,,,Malema,MZ0708,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2359.03881835938
Malowera,MZ101104,,,,Maravia,MZ1011,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5175.27685546875
Maluana,MZ050403,,,,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,450.165802001953
Mandie,MZ040402,,,,Guro,MZ0404,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1168.98376464844
Mandimba,MZ080901,,,,Mandimba,MZ0809,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1535.42504882813
Mandlakaze,MZ021104,,,,Mandlakaze,MZ0211,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,97.8162155151367
Manhiça,MZ050404,Manhica,,,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,412.115264892578
Maniamba,MZ080603,,,,Lago,MZ0806,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1263.45764160156
Manica,MZ040802,,,,Manica,MZ0408,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,121.439437866211
Manje,MZ100502,,,,Chiuta,MZ1005,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4111.90576171875
Mapai,MZ021201,,,,Mapai,MZ0212,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,11601.4814453125
Mapinhane,MZ031301,,,,Vilankulo,MZ0313,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4047.42333984375
Mapulanguene,MZ050303,,,,Magude,MZ0503,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2670.7734375
Mapupulo,MZ011101,,,,Montepuez,MZ0111,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,742.706481933594
Maquival,MZ111201,,,,Maquival,MZ1112,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,617.401123046875
Marangira,MZ081001,,,,Marrupa,MZ0810,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,6768.59521484375
Marara,MZ101001,,,,Marara,MZ1010,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2715.853515625
Maringue,MZ091002,,,,Maringue,MZ0910,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2223.52905273438
Marracuene,MZ050502,,,,Marracuene,MZ0505,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,465.120391845703
Marromeu,MZ091102,,,,Marromeu,MZ0911,Sofala,MZ09,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3752.326171875
Marrupa,MZ081002,,,,Marrupa,MZ0810,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,7421.17626953125
Massangena,MZ021301,,,,Massangena,MZ0213,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1877.16687011719
Massangulo,MZ081702,,,,Ngauma,MZ0817,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1583.05541992188
Massinga,MZ030902,,,,Massinga,MZ0309,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2064.744140625
Massingir,MZ021401,,,,Massingir,MZ0214,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1710.37939453125
Matchedje,MZ081903,,,,Sanga,MZ0819,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5157.81689453125
Matibane,MZ071602,,,,Mossuril,MZ0716,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,707.402282714844
Matola Rio,MZ050102,,,,Boane,MZ0501,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,205.828063964844
Matondovela,MZ081401,,,,Mecula,MZ0814,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,8349.0009765625
Matsinho,MZ041201,,,,Vanduzi,MZ0412,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1307.15393066406
Maua,MZ081102,,,,Maua,MZ0811,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,6134.25244140625
Mavago,MZ081202,,,,Mavago,MZ0812,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4248.400390625
Mavala,MZ010204,,,,Balama,MZ0102,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1284.326171875
Mavodze,MZ021402,,,,Massingir,MZ0214,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3037.30615234375
Mavonde,MZ040803,,,,Manica,MZ0408,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1001.66333007813
Mavue,MZ021302,,,,Massangena,MZ0213,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5667.39013671875
Mawayela,MZ031201,,,,Panda,MZ0312,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2771.05395507813
Maxixe,MZ031001,,,,Maxixe,MZ0310,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,267.740753173828
Mazeze,MZ010304,,,,Chiure,MZ0103,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,692.682495117188
Mazivila,MZ020103,,,,Bilene,MZ0201,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,378.404571533203
Mazula,MZ071103,,,,Memba,MZ0711,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1569.54052734375
Mbau,MZ011002,,,,Mocimboa Da Praia,MZ0110,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,784.8671875
Meconta,MZ070903,,,,Meconta,MZ0709,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,459.890380859375
Mecuburi,MZ071001,,,,Mecuburi,MZ0710,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3640.81298828125
Mecufi,MZ010701,,,,Mecufi,MZ0107,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,619.935485839844
Mecula,MZ081402,,,,Mecula,MZ0814,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,9666.4541015625
Megaza,MZ111802,,,,Morrumbala,MZ1118,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1584.6650390625
Meloco,MZ011403,,,,Namuno,MZ0114,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1406.10729980469
Meluco,MZ010801,,,,Meluco,MZ0108,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4524.68603515625
Memba,MZ071104,,,,Memba,MZ0711,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1385.27917480469
Meponda,MZ080103,,,,Chimbonila,MZ0801,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,818.906677246094
Mepuagiua,MZ110603,,,,Gurue,MZ1106,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1289.09350585938
Mesa,MZ010102,,,,Ancuabe,MZ0101,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1413.69506835938
Messano,MZ020104,,,,Bilene,MZ0201,Gaza,MZ02,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,367.898406982422
Messica,MZ040804,,,,Manica,MZ0408,Manica,MZ04,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,821.593139648438
Metangula,MZ080604,,,,Lago,MZ0806,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,827.588562011719
Metarica,MZ081501,,,,Metarica,MZ0815,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2613.71508789063
Meti,MZ070502,,,,Lalaua,MZ0705,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1660.23583984375
Metoro,MZ010103,,,,Ancuabe,MZ0101,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1417.71057128906
Metuge,MZ010901,,,,Metuge,MZ0109,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1460.26098632813
Micaune,MZ110202,,,,Chinde,MZ1102,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2092.38623046875
Mieze,MZ010902,,,,Metuge,MZ0109,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,128.07958984375
Milange,MZ111302,,,,Milange,MZ1113,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3432.20825195313
Milhana,MZ071002,,,,Mecuburi,MZ0710,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1275.3681640625
Mirate,MZ011102,,,,Montepuez,MZ0111,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3118.25415039063
Mitande,MZ080902,,,,Mandimba,MZ0809,Niassa,MZ08,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3144.79125976563
Miteda,MZ011302,,,,Muidumbe,MZ0113,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,473.822906494141
Moamba,MZ050701,,,,Moamba,MZ0507,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1468.10266113281
Moatize,MZ101202,,,,Moatize,MZ1012,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3829.65087890625
Mocimboa Da Praia,MZ011003,,,,Mocimboa Da Praia,MZ0110,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1668.28918457031
Mocuba,MZ111401,,,,Mocuba,MZ1114,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3649.8857421875
Mocubela,MZ111502,,,,Mocubela,MZ1115,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3412.70922851563
Mocumbi,MZ030502,,,,Inharrime,MZ0305,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1637.41369628906
Molumbo,MZ111601,,,,Molumbo,MZ1116,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,4319.73681640625
Moma,MZ071402,,,,Moma,MZ0714,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2510.029296875
Monapo,MZ071502,,,,Monapo,MZ0715,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1232.64990234375
Mongue,MZ111303,,,,Milange,MZ1113,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1418.38781738281
Montepuez,MZ011103,,,,Montepuez,MZ0111,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1210.56823730469
Mopeia,MZ111702,,,,Mopeia,MZ1117,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3988.48486328125
Morrumbala,MZ111803,,,,Morrumbala,MZ1118,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3116.80297851563
Morrumbene,MZ031101,,,,Morrumbene,MZ0311,Inhambane,MZ03,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,554.691528320313
Mossuril,MZ071603,,,,Mossuril,MZ0716,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,847.85009765625
Motaze,MZ050304,,,,Magude,MZ0503,Maputo,MZ05,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,964.706237792969
Mphende,MZ100902,,,,Magoe,MZ1009,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1926.08215332031
Muabanama,MZ111002,,,,Lugela,MZ1110,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,2208.712890625
Muaguide,MZ010802,,,,Meluco,MZ0108,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,1204.26135253906
Mualadze,MZ100402,,,,Chifunde,MZ1004,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,3500.41455078125
Mualama,MZ112301,,,,Pebane,MZ1123,Zambezia,MZ11,Mozambique,Moçambique,MZ,2019-04-02 00:00:00,2019-06-07 00:00:00,,5123.37744140625
